glacier_name,Glacier_ID,Down_glacier_direction,Distance from terminus,channel_width_100m_from_lowest_point,channel_width_from_below,channel_width_Q,channel_width_100_above_station,channel_width_balaji,channel_width_at_station,lat,lon,relief_0.1,relief_1,relief_10,relief_20,relief_100,mean_wind_obs,stddev_0.1,stddev_1,stddev_10,stddev_20,stddev_100,Slope_120m,Slope_60m,Slope_1km,Slope_10km,Slope_1km_20p,aspect_eastness_0.1km,aspect_eastness_1km,aspect_northness_0.1km,aspect_northness_1km,rgi_aspect,rgi_slope,station_z,Z_max,Z_min,glacier_length,glacier_area,glacier_width,glacier_width_at_station,Unnamed: 40,Distance from head,Distance from centerline,continentality,sensitivity,delay,A,B,mean_temp_era5,mean_wind_era5,mean_temp_obs,T_range_continentality,rel_distance_from_terminus,localtime,Mean_elev,score,mean_along_valley%,data_length_days
Kennikot,RGI2000-v7.0-G-01-05740,344,5.496,,4.5,1.0,5.96,4.56,5.1,61.4841,-142.9283,4,50,1437,1773,4740,1.979871997,1.414213562,9.263435636,187.093511,384.1307008,784.2640494,0.012269396,0.012269396,0.012269396,0.012269396,0.012269396,-0.965925826,-0.965925826,0.258819045,0.258819045,154.0,13.4,657.0,4952,407.0,44.9,292.5,6.514476615,4.56,,39.1,0.226,25.346600153112888,0.214432603,0.724913982,0.214432603,-0.155445192,10.73390855,0.860905578,10.51313637,25.346600153112888,0.122405345,1,608.1140607,0.904240009,0.445243248,81
Drangdrung,RGI2000-v7.0-G-14-26914,224,8.004,2.45,1.0,1.0,2.59,1.492,1.492,33.787596,76.333945,6,71,2255,2526,5812,4.092971328,1.972026594,14.48006249,400.4567333,453.8533852,737.4997491,0.05589956,0.05589956,0.05589956,0.05589956,0.05589956,-0.809016994,-0.809016994,-0.587785252,-0.587785252,3.49,13.9,4600.615873,6523,4079.0,24.737,68.36,2.763471723,1.492,,16.417,0.1642,26.75100507018385,0.234262284,2.670430352,0.234262284,-0.625581114,-1.102686074,0.646858221,5.519183874,26.75100507018385,0.323563892,1,4588.997081,0.871413524,0.89286796,73
Otemma,RGI2000-v7.0-G-11-00859,55,1.407,0.853,,1.0,1.1,0.69,3.16,45.956,7.454,6,141,1853,2494,4402,3.701260965,1.876388375,22.46643272,328.3360498,442.4180886,776.2661185,0.008812765,0.008812765,0.008812765,0.008812765,0.008812765,-0.848048096,-0.848048096,-0.529919264,-0.529919264,286.0,15.0,2683.0,3759,2453.0,8.69,11.75,1.352128884,0.69,,6.1,0.028,21.747832882788828,-0.037994999,-2.473754506,-0.037994999,-0.093990301,7.372110866,0.831476184,5.625811404,21.747832882788828,0.161910242,1,2841.428934,0.294376819,0.606833563,20
Place1,RGI2000-v7.0-G-02-07366,160,0.913,1.25,1.65,1.0,1.3,0.922,0.922,50.426073,-122.601628,6,178,2100,2423,2824,2.911133039,2.325880956,37.77694243,489.790308,566.7144807,555.0690409,0.02160316,0.02160316,0.02160316,0.02160316,0.02160316,-0.882947593,-0.882947593,-0.469471563,-0.469471563,21.4,11.83,1970.368254,2560,1839.0,3.821,3.015,0.789060455,0.922,,2.909,0.007,22.802870484541074,0.049477401,0.292923833,0.049477401,-0.01449311,11.17071623,0.782819151,4.684449391,22.802870484541074,0.238942685,1,1951.20486,0.933128411,0.799753164,163
Place2,RGI2000-v7.0-G-02-07366,160,1.386,1.48,1.25,1.0,1.63,1.301,1.301,50.421835,-122.598482,10,146,2091,2498,2843,3.157743579,3.596873642,31.65912403,442.9990809,567.8371143,555.6863897,0.02160316,0.02160316,0.02160316,0.02160316,0.02160316,-0.882947593,-0.882947593,-0.469471563,-0.469471563,21.4,11.83,2024.669841,2560,1839.0,3.821,3.015,0.789060455,1.301,,2.445,0.198,22.802870484541074,0.049681702,1.155945657,0.049681702,-0.057429348,11.21482942,0.77730532,4.626022415,22.802870484541074,0.362732269,1,2011.009024,0.889829464,0.727558975,194
Schiaparelli,RGI2000-v7.0-G-17-15343,90,1.677,2.05,1.54,1.0,2.23,1.581,1.581,-54.4,-70.87,10,105,2178,2180,2293,3.935230194,2.869560071,18.40521817,403.5579852,383.2407779,266.6679765,0.012010698,0.012010698,0.012010698,0.012010698,0.012010698,0.48480962,0.48480962,-0.874619707,-0.874619707,343.0,13.85,196.5348101,1953,4.79,10.831,24.7903,2.288828363,1.581,,9.21,0.358567,6.911142260370241,0.429816919,0.728755046,0.429816919,-0.313231248,6.238995204,5.623810113,7.141714312,6.911142260370241,0.154833349,0,172.6333897,0.982085751,-0.144687189,446
Weart2,RGI2000-v7.0-G-02-07402,200,5.108,1.45,1.02,0.0,1.66,0.683,0.683,50.138823,-122.775232,11,225,1859,2518,2953,2.437741922,4.099457959,39.30963741,351.4318799,482.4784122,571.3954359,0.02160316,0.02160316,0.02160316,0.02160316,0.02160316,-0.882947593,-0.882947593,-0.469471563,-0.469471563,14.18,11.88,2298.203822,2759,1655.0,6.503,8.111,1.247270491,0.683,,1.479,0.072964,21.41901511310988,0.086409167,2.870331016,0.086409167,-0.248022913,9.153918228,0.621856123,4.799727636,21.41901511310988,0.785483623,1,2310.925466,0.731071885,0.503533285,50
Corbassiere,RGI2000-v7.0-G-11-00823,157,1.781,1.36,0.897,1.0,1.36,0.6,0.97,45.996315,7.291944,14,343,2933,3528,4501,3.27122807,4.196352583,58.05059551,577.0967863,618.5444656,761.7422994,0.008812765,0.008812765,0.008812765,0.008812765,0.008812765,-0.848048096,-0.867487719,-0.529919264,-0.529919264,353.0,17.8,2561.0,4267,2234.0,8.98,16.71,1.860801782,0.77,,7.349,0.018,21.747832882788828,-0.082603697,1.700561104,-0.082603697,0.140472634,8.966367557,0.866584073,7.074035088,21.747832882788828,0.198329621,1,2523.395769,0.792040314,0.496580457,20
Arolla,RGI2000-v7.0-G-11-01247,166,2.005,1.06,0.949,1.0,1.18,0.71559,0.71559,45.97,7.52,17,399,1862,3000,4387,3.445331439,4.660710485,59.51679731,373.4526332,475.9871962,772.0637542,0.008812765,0.008812765,0.008812765,0.008812765,0.008812765,-0.848048096,-0.848048096,-0.529919264,-0.529919264,9.0,16.44,2851.751592,3467,2546.0,4.356,3.7984,0.871992654,0.71559,,2.12,0.220798,21.73180820095928,0.095947857,3.250521616,0.095947857,-0.311880584,7.91964641,0.835159173,8.175686553,21.73180820095928,0.460284665,1,2839.551342,0.524290855,0.021437948,56
Place3,RGI2000-v7.0-G-02-07366,160,1.899,1.32,1.9,0.0,2.9,0.906,0.906,50.414718,-122.600217,17,401,2008,2534,2843,3.240983684,4.904646323,59.81428895,379.877652,580.9377072,556.3424806,0.02160316,0.02160316,0.02160316,0.02160316,0.02160316,-0.882947593,-0.882947593,-0.469471563,-0.469471563,21.4,11.83,2095.0,2560,1839.0,3.821,3.015,0.789060455,0.906,,2.027,0.421089,22.802870484541074,0.047025579,2.605090979,0.047025579,-0.122505911,11.45668143,0.783250518,5.095363471,22.802870484541074,0.496990317,1,2091.599605,0.912087469,0.627297985,207
Yala,RGI2000-v7.0-G-15-05917,36,1.354,,0.94047619,0.0,0.648,0.648,0.648,28.23,85.62,17,486,2872,3516,7538,1.162164935,5.661762584,112.9249811,609.2177873,555.1936894,1546.928357,0.028148301,0.028148301,0.028148301,0.028148301,0.028148301,-0.224951054,-0.224951054,-0.974370065,-0.974370065,225.8,22.72,5213.642405,5644,5080.0,2.184,2.054,0.94047619,0.648,,0.491,0.281151,14.762214209443812,0.050268037,3.445915437,0.050268037,-0.173219405,3.294316789,0.819937552,1.411933983,14.762214209443812,0.61996337,1,5202.667983,0.280640017,0.395177771,363
Bishop,RGI2000-v7.0-G-15-08331,90,18.3,1.04,1.05,0.0,1.35,0.95,1.420791545,27.9735,86.9308,21,405,3750,4486,8317,3.050286777,5.462585812,92.07092416,845.3285524,715.2857717,1277.494468,0.040730692,0.040730692,0.040730692,0.040730692,0.040730692,-0.139173101,-0.139173101,-0.990268069,-0.990268069,303.0,23.56,7857.022222,7981,4879.0,18.546,26.35,1.420791545,,,0.087,0.476,15.88784818751833,0.313174023,2.43171365,0.313174023,-0.761549546,-1.248793825,0.744509236,-17.28587229,15.88784818751833,0.986735684,0,7888.399211,0.705336719,0.248659913,58
Langenferner,RGI2000-v7.0-G-11-02875,250,1.281,,0.391,0.0,1.65,0.523278,0.523278,46.47245,10.61391,21,380,1986,2623,3730,3.332696354,5.851756621,82.91998407,332.8616364,454.6898426,701.1469498,0.008095141,0.008095141,0.008095141,0.008095141,0.008095141,-0.874619707,-0.874619707,-0.48480962,-0.48480962,32.0,18.14,2954.449045,3399,2671.0,2.934,2.1629,0.737184731,0.523278,,1.775,0.253101,19.23615777620705,-0.073149585,-0.584279018,-0.073149585,-0.042739767,7.478444598,0.750290743,4.378497308,19.23615777620705,0.436605317,1,2957.259322,0.812404072,0.647748466,269
Weart1,RGI2000-v7.0-G-02-07402,200,2.929,1.64,1.46,1.0,1.7,1.325,1.325,50.155944,-122.760257,22,199,1717,2553,2953,3.44662415,7.559916914,39.49202282,277.2470801,453.9096867,573.4797648,0.02160316,0.02160316,0.02160316,0.02160316,0.02160316,-0.882947593,-0.882947593,-0.469471563,-0.469471563,14.18,11.88,2164.47619,2759,1655.0,6.503,8.111,1.247270491,1.325,,3.71,0.178,21.41901511310988,0.039235695,6.221626966,0.039235695,-0.244109857,10.94461981,0.589580652,4.066917517,21.41901511310988,0.450407504,1,2156.297236,0.811617125,0.900027556,50
Hinterisferner,RGI2000-v7.0-G-11-03116,300,4.255,1.231,0.639,1.0,1.76,0.92,0.92,46.79867,10.76042,23,346,1791,2262,3667,3.959829978,6.575945221,79.15113039,305.7873124,384.9585212,686.1367428,0.008095141,0.008095141,0.008095141,0.008095141,0.008095141,-0.874619707,-0.874619707,-0.48480962,-0.48480962,77.0,18.1,3026.504762,3694,2413.0,8.548,8.036,0.940102948,0.92,,4.228,0.703,19.65108953496457,0.070238593,-0.072341675,0.070238593,0.005081177,4.505023315,0.80010275,4.984105805,19.65108953496457,0.497777258,1,3024.118577,0.740771994,-0.021473708,90
Bellavista,RGI2000-v7.0-G-11-03243,250,-0.983,0.783,0.58,0.0,1.11,1.47,2.0,46.78284,10.79138,24,435,1852,2395,3675,3.345686646,9.029249346,89.73548101,375.9041724,399.205892,699.4236633,0.008095141,0.008095141,0.008095141,0.008095141,0.008095141,-0.874619707,-0.874619707,-0.48480962,-0.48480962,340.2,15.3,2799.0,2657,3405.0,3.183,3.09,0.970782281,1.47,,1.649,1.177,19.65108953496457,0.183571713,-0.345731749,0.183571713,0.063466569,6.603413009,0.808533076,6.801106655,19.65108953496457,-0.30882815,1,2818.282572,0.962002214,0.248599601,35
Djankuat,RGI2000-v7.0-G-12-00647,130,1.176,0.853,0.616,1.0,0.961,1.52,1.217,43.198,42.757,25,393,2052,3149,5094,5.360212601,7.779513695,97.11901055,437.8489401,558.5766797,731.4355554,0.016885024,0.016885024,0.016885024,0.016885024,0.016885024,0.069756474,0.069756474,0.99756405,0.99756405,329.3,25.05,2975.605096,3706,2689.7,3.152,2.989,0.948286802,1.217,,1.677,0.114,26.39893156995055,0.791768547,0.341534742,0.791768547,-0.270416466,8.460192812,0.655519713,7.306325517,26.39893156995055,0.373096447,1,2983.446262,0.922919159,0.905634589,176
Vernatferner,RGI2000-v7.0-G-11-03124,308,1.41,1.19,0.5,1.0,1.25,0.809,1.58,46.868939,10.802986,30,304,1534,2173,3662,3.330316092,9.688709602,65.96651362,288.120823,389.2698162,683.289241,0.008095141,0.008095141,0.008095141,0.008095141,0.008095141,-0.874619707,-0.874619707,-0.48480962,-0.48480962,154.0,15.7,3066.0,3574,2794.0,3.018,8.56,2.836315441,0.809,,1.755,0.425,19.65108953496457,0.001610224,52.7111744,0.001610224,-0.084876801,3.171821916,0.811618278,-1.092829162,19.65108953496457,0.467196819,0,3070.209191,0.172981515,0.43278379,29
Satopanth,RGI2000-v7.0-G-15-00882,247,1.186,0.974,1.459,1.0,1.2,0.750868,0.750868,30.773251,79.408794,32,420,3150,4318,7148,1.190695906,8.576630676,64.91782094,565.2783277,729.6095362,1439.995984,0.055348579,0.055348579,0.055348579,0.055348579,0.055348579,-0.573576436,-0.573576436,-0.819152044,-0.819152044,34.36,19.7,3909.812698,7056,3755.0,20.106,57.04,2.83696409,0.750868,,13.503,0.042383,23.021764242520874,0.577815977,0.057792804,0.577815977,-0.033393606,3.514602707,0.75986793,10.31939058,23.021764242520874,0.058987367,1,3900.70784,0.829451212,0.086672786,63
Mullwitzkeez,RGI2000-v7.0-G-11-03803,30,1.455,0.87,1.94,0.0,1.412,1.412,1.412,47.0839,12.3634,37,394,1968,2547,3207,2.283062427,11.96332286,89.48093625,332.3447284,480.9654033,600.6888984,0.003207142,0.003207142,0.003207142,0.003207142,0.003207142,0.79863551,0.79863551,0.601815023,0.601815023,210.5,17.2,2976.0,3407,2644.0,3.066,3.01,0.98173516,1.412,,2.166,1.238,19.3885891411893,0.14946279,0.47263326,0.14946279,-0.070641086,10.22678047,0.82563797,5.877431451,19.3885891411893,0.474559687,0,2975.566272,0.743522199,-0.579586827,20
Camp2,RGI2000-v7.0-G-15-08331,150,14.103,1.0,0.628,1.0,1.21,0.66,0.65,27.981,86.9023,40,576,3686,4607,8292,1.081502003,10.65345455,102.3060144,848.1885654,763.6817028,1253.931466,0.040730692,0.040730692,0.040730692,0.040730692,0.040730692,-0.139173101,-0.139173101,-0.990268069,-0.990268069,303.0,23.56,6484.964856,7981,4879.0,18.546,26.35,1.420791545,2.088,,3.043,0.39,15.88784818751833,0.083382509,0.267843392,0.083382509,-0.022333454,-1.476860811,0.804493807,-3.630960396,15.88784818751833,0.760433517,0,6474.495041,0.344564417,-0.07098885,390
Lirung,RGI2000-v7.0-G-15-05739,303,1.792,0.922,0.383,1.0,1.18,0.361273,0.361273,28.24,85.56,48,572,3807,4553,7567,0.951765641,14.43465881,135.8730585,759.5799753,719.927965,1564.966084,0.028148301,0.028148301,0.028148301,0.028148301,0.028148301,-0.224951054,-0.224951054,-0.974370065,-0.974370065,139.0,32.48,4275.60443,7216,3988.0,8.57,4.786,0.558459743,0.361273,,5.934,0.281,14.762214209443812,0.273271725,0.597267957,0.273271725,-0.163216445,3.120919469,0.825239799,8.226546247,14.762214209443812,0.209101517,1,4271.562606,0.930851084,-0.50944476,155
Chottashigri,RGI2000-v7.0-G-14-30579,260,4.913,1.31,1.146,1.0,2.13,0.6,0.608,32.228297,77.506293,49,296,2457,3015,5728,2.578767594,15.89368979,71.3046837,388.5689815,526.7470299,1152.371914,0.055946875,0.055946875,0.055946875,0.055946875,0.055946875,-0.777145961,-0.777145961,-0.629320391,-0.629320391,338.5,16.9,4870.749206,5752,4273.0,9.516,16.764,1.761664565,0.608,,4.76,0.281,23.3812836267615,0.333931096,2.353711676,0.333931096,-0.785977519,3.640559266,0.755608683,3.01828437,23.3812836267615,0.516288356,1,4860.738623,0.726709826,0.402717197,64
Trakarding,RGI2000-v7.0-G-15-08533,52,0.42985,0.718,0.96,1.0,1.83,0.29821,0.29821,27.843,86.487,49,351,2557,3258,8307,1.645085175,16.06670124,92.04592469,467.7578452,532.7034206,1601.199158,0.040730692,0.040730692,0.040730692,0.040730692,0.040730692,-0.139173101,-0.139173101,-0.990268069,-0.990268069,327.0,16.99,4820.895238,6677,4545.0,17.869,32.09,1.795847557,0.29821,,17.535,0.65216,13.99930348960305,0.492537526,1.547936748,0.492537526,-0.762416937,3.544376735,0.750281689,4.889621317,13.99930348960305,0.024055627,1,4818.349591,0.906199157,0.279037494,363
Pyramid,RGI2000-v7.0-G-15-08331,30,5.545,1.35,1.15,1.0,2.94,0.872,0.872,27.99,86.83,59,428,2927,4529,8265,2.045573008,16.45020897,90.7405461,449.5057654,675.3717621,1200.63798,0.040730692,0.040730692,0.040730692,0.040730692,0.040730692,-0.139173101,-0.139173101,-0.990268069,-0.990268069,303.0,23.56,5410.542857,7981,4879.0,18.546,26.35,1.420791545,0.872,,11.841,1.292,15.88784818751833,0.531705432,1.441247053,0.531705432,-0.766318887,0.679243727,0.884942644,2.983512211,15.88784818751833,0.298986304,0,5406.767993,0.981042997,-0.663102514,865
Kalapathar,RGI2000-v7.0-G-15-06739,25,-0.56,0.796,0.689,1.0,1.19,0.577,0.55,27.96,86.81,80,481,2344,4173,8366,2.056087317,27.0692271,113.0598157,351.1586431,626.9383633,1282.556399,0.040730692,0.040730692,0.040730692,0.040730692,0.040730692,-0.139173101,-0.139173101,-0.990268069,-0.990268069,303.0,23.56,5103.400631,7981,4879.0,1.73,0.83,0.479768786,0.577,,15.195,0.436,15.88784818751833,1.061196972,0.522977429,1.061196972,-0.554982065,0.644573625,0.901192359,0.242184221,15.88784818751833,-0.323699422,1,5095.734896,0.897672702,-0.485585331,333
Balcony,RGI2000-v7.0-G-15-08331,257,,,,,,1.1,,27.9826,86.9292,66,885,3670,4501,8289,3.70497191,19.49715079,212.4977994,774.4512954,707.3358388,1253.944767,0.040730692,0.040730692,0.040730692,0.040730692,0.040730692,-0.139173101,-0.139173101,-0.990268069,-0.990268069,303.0,23.5,8323.0,7981,4879.0,1.8546,26.35,14.20791545,1.1,,1.28,1.962,15.88784818751833,0.069749806,-2.686232358,0.069749806,0.187364187,-1.581590346,0.830726746,-16.43713858,15.88784818751833,,0,8358.942188,0.287231122,0.143015138,89
Morimoto,RGI2000-v7.0-G-15-05844,132,,,,,,0.209,,28.25296,85.68152,51,358,2703,4186,7491,2.024588406,12.92768347,90.90092999,495.5043496,540.7106316,1462.869521,0.028148301,0.028148301,0.028148301,0.028148301,0.028148301,-0.224951054,-0.224951054,-0.974370065,-0.974370065,90.0,22.0,4925.0,5914,4689.0,4.647,1.38,0.296965784,0.209,,2.84,0.2,16.47690274638518,0.757530034,0.619668597,0.757530034,-0.469417573,0.910188299,0.83151325,3.669074855,16.47690274638518,,1,4919.709614,0.876098133,0.671710274,272
Place4,RGI2000-v7.0-G-02-07366,42,,,,,,0.649,,50.412846,-122.615898,10,343,2152,2462,2843,2.972851601,3.291402943,64.53562702,385.2287578,597.8875535,557.1139097,0.02160316,0.02160316,0.02160316,0.02160316,0.02160316,-0.882947593,-0.882947593,-0.469471563,-0.469471563,21.4,11.83,2330.0,2560,1839.0,3.821,3.015,0.789060455,0.649,,0.867,0.023,22.802870484541074,0.050767186,4.06537156,0.050767186,-0.206387476,12.30141403,0.776344691,4.459808281,22.802870484541074,,1,2309.265577,0.665398303,-0.559705858,146
Southcol,RGI2000-v7.0-G-15-08331,257,,,,,,1.0,,27.9719,86.9295,72,575,3760,4497,8322,2.781729641,20.62528409,121.4592227,855.5799613,718.8731727,1281.559884,0.040730692,0.040730692,0.040730692,0.040730692,0.040730692,-0.139173101,-0.139173101,-0.990268069,-0.990268069,303.0,23.56,7905.0,7981,4879.0,18.546,26.35,1.420791545,1.0,,0.321,1.064,15.88784818751833,0.062410538,-0.563546146,0.062410538,0.035171218,-1.411314582,0.811692548,-13.10441898,15.88784818751833,,0,7935.570178,0.696269394,0.180625237,351
Weissee,RGI2000-v7.0-G-11-03239,85,,,,,,0.63,,46.872909,10.714437,10,351,1765,2177,3628,3.702730183,3.040239391,71.43047416,356.3551159,366.1808683,651.1976537,0.008095141,0.008095141,0.008095141,0.008095141,0.008095141,-0.874619707,-0.874619707,-0.48480962,-0.48480962,353.0,11.699,3507.0,3486,2113.0,7.823,16.7222,2.137568708,0.63,,0.142,0.028,20.454755844608485,-0.141527418,-0.636685907,-0.141527418,-0.090108513,3.163470843,0.754315039,0.527720664,20.454755844608485,,1,2465.415766,0.847639513,-0.137837454,91
