glacier_name,Glacier_ID,Down_glacier_direction,Distance from terminus,channel_width_100m_from_lowest_point,channel_width_from_below,channel_width_Q,channel_width_100_above_station,channel_width_balaji,lat,lon,relief,stddev,relief_0.1,relief_1,relief_10,relief_20,relief_100,mean_wind_obs,stddev_0.1,stddev_1,stddev_10,stddev_20,stddev_100,Slope_120m,aspect_eastness_0.1km,aspect_eastness_1km,aspect_northness_0.1km,aspect_northness_1km,aspect_1km_50p,rgi_aspect,rgi_slope,station_z,Z_max,Z_min,glacier_length,glacier_area,glacier_width,glacier_width_at_station,Unnamed: 40,Distance from head,Distance from centerline,continentality,sensitivity,delay,A,B,mean_temp_era5,mean_wind_era5,mean_temp_obs,T_range_continentality,rel_distance_from_terminus,localtime,Mean_elev,score,mean_along_valley%,data_length_days,mean_abs_along_valley%
Arolla,RGI2000-v7.0-G-11-01247,166,2.005,1.06,0.949,1.0,1.18,0.71559,45.97,7.52,2439.0,4.660710485,17,399,1862,3000,4387,3.3826607429347155,4.660710485,59.51679731,373.4526332,475.9871962,772.0637542,0.008812765,-0.848048096,-0.848048096,-0.529919264,-0.529919264,64.65217391,9.0,16.44,2851.751592,3467,2546.0,4.356,3.7984,0.871992654,0.71559,,2.12,0.220798,21.7318082,0.09684397554566837,3.5906102937655358,0.09684397554566837,-0.34772897548345466,6.968109063493581,0.8496575714813434,7.425177017771195,21.7318082,0.46028466483011937,1,2839.551342,0.6748707798166627,0.028854349948293695,74,0.43409175660525534
Balcony,RGI2000-v7.0-G-15-08331,257,0.5746,1.04,,,,1.1,27.9826,86.9292,,,66,885,3670,4501,8289,3.431175347222222,19.49715079,212.4977994,774.4512954,707.3358388,1253.944767,0.040730692,-0.139173101,-0.139173101,-0.990268069,-0.990268069,,303.0,23.5,8323.0,7981,4879.0,1.8546,26.35,14.20791545,1.1,,1.28,1.962,15.88784819,0.0977243376600641,-3.831280213974632,0.0977243376600641,0.37440932130077953,-1.7590301812644924,0.827996130055353,-16.584190277777775,15.88784819,0.30982422085624933,0,8358.942188,0.44836491851285665,0.21622819970854,120,0.21944068547897677
Bellavista,RGI2000-v7.0-G-11-03243,250,-0.983,0.783,0.58,0.0,1.11,1.47,46.78284,10.79138,,9.029249346,24,435,1852,2395,3675,3.5780745356591708,9.029249346,89.73548101,375.9041724,399.205892,699.4236633,0.008095141,-0.874619707,-0.874619707,-0.48480962,-0.48480962,,340.2,15.3,2799.0,2657,3405.0,3.183,3.09,0.970782281,1.47,,1.649,1.177,19.65108953,0.23346028257027335,0.17371560468817074,0.23346028257027335,-0.04055569415736624,4.322730445347921,0.8887913242502893,4.296645413084215,19.65108953,-0.3088281495444549,1,2818.282572,0.968732381127743,0.20709945657354176,64,0.20709945657354176
Bishop,RGI2000-v7.0-G-15-08331,90,18.3,1.04,1.05,0.0,1.35,0.95,27.9735,86.9308,2577.0,5.462585812,21,405,3750,4486,8317,3.179746188875901,5.462585812,92.07092416,845.3285524,715.2857717,1277.494468,0.040730692,-0.139173101,-0.139173101,-0.990268069,-0.990268069,204.2891156,303.0,23.56,7857.022222,7981,4879.0,18.546,26.35,1.420791545,,,0.087,0.476,15.88784819,0.322373653234706,1.987775145980594,0.322373653234706,-0.6408063356189151,-1.2754485081948141,0.746102713192004,-17.349132658776544,15.88784819,0.9867356842445811,0,7888.399211,0.6568177961829252,0.24993396767087958,59,0.2677230303541312
Camp2,RGI2000-v7.0-G-15-08331,150,14.103,1.0,0.628,1.0,1.21,0.66,27.981,86.9023,4507.0,10.65345455,40,576,3686,4607,8292,1.0951250372598382,10.65345455,102.3060144,848.1885654,763.6817028,1253.931466,0.040730692,-0.139173101,-0.139173101,-0.990268069,-0.990268069,222.462556,303.0,23.56,6484.964856,7981,4879.0,18.546,26.35,1.420791545,2.088,,3.043,0.39,15.88784819,0.06402345778284214,0.5728615452684955,0.06402345778284214,-0.03667657695891124,-1.700984745752943,0.7994701447863782,-3.9602089904317537,15.88784819,0.7604335166612747,0,6474.495041,0.2657638913746916,-0.008255863897164302,514,0.21452009167363997
Chottashigri,RGI2000-v7.0-G-14-30579,260,4.913,1.31,1.146,1.0,2.13,0.6,32.228297,77.506293,3010.0,15.89368979,49,296,2457,3015,5728,2.6190266472868218,15.89368979,71.3046837,388.5689815,526.7470299,1152.371914,0.055946875,-0.777145961,-0.777145961,-0.629320391,-0.629320391,98.26315789,338.5,16.9,4870.749206,5752,4273.0,9.516,16.764,1.761664565,0.608,,4.76,0.281,23.38128363,0.2942184329475558,2.1098366702003784,0.2942184329475558,-0.6207528388816445,2.759963923035833,0.779397646713786,2.4340100319197444,23.38128363,0.5162883564522909,1,4860.738623,0.688228633085473,0.3586315143499439,86,0.36366679526647855
Corbassiere,RGI2000-v7.0-G-11-00823,157,1.781,1.36,0.897,1.0,1.36,0.6,45.996315,7.291944,,4.196352583,14,343,2933,3528,4501,3.116063596491228,4.196352583,58.05059551,577.0967863,618.5444656,761.7422994,0.008812765,-0.848048096,-0.867487719,-0.529919264,-0.529919264,,353.0,17.8,2561.0,4267,2234.0,8.98,16.71,1.860801782,0.77,,7.349,0.018,21.74783288,-0.07761088090194534,0.2356673795406434,-0.07761088090194534,0.018290352926002427,7.717289169728908,0.8664141939077732,6.450986842105263,21.74783288,0.1983296213808463,1,2523.395769,0.7403609644488488,0.5562883587771811,38,0.5562883587771811
Djankuat,RGI2000-v7.0-G-12-00647,130,1.176,0.853,0.616,1.0,0.961,1.52,43.198,42.757,3119.0,7.779513695,25,393,2052,3149,5094,5.119577144106322,7.779513695,97.11901055,437.8489401,558.5766797,731.4355554,0.016885024,0.069756474,0.069756474,0.99756405,0.99756405,300.4006914,329.3,25.05,2975.605096,3706,2689.7,3.152,2.989,0.948286802,1.217,,1.677,0.114,26.39893157,0.7856700016213186,0.3187372088369406,0.7856700016213186,-0.2504222633836937,7.929449058824491,0.6805624966613251,6.961034438698095,26.39893157,0.37309644670050757,1,2983.446262,0.9152781846033397,0.8959798278739647,231,0.8959798278739647
Drangdrung,RGI2000-v7.0-G-14-26914,224,8.004,2.45,1.0,1.0,2.59,1.492,33.787596,76.333945,2577.0,1.972026594,6,71,2255,2526,5812,4.203627113029971,1.972026594,14.48006249,400.4567333,453.8533852,737.4997491,0.05589956,-0.809016994,-0.809016994,-0.587785252,-0.587785252,82.1715439,3.49,13.9,4600.615873,6523,4079.0,24.737,68.36,2.763471723,1.492,,16.417,0.1642,26.75100507,0.21651210812413796,2.673661392614334,0.21651210812413796,-0.5788800645250479,-0.8815486210632262,0.7030299216174262,5.536262020285087,26.75100507,0.3235638921453693,1,4588.997081,0.8879280849790111,0.9084218948628381,98,0.9084218948628381
Hinterisferner,RGI2000-v7.0-G-11-03116,300,4.255,1.231,0.639,1.0,1.76,0.92,46.79867,10.76042,2316.0,6.575945221,23,346,1791,2262,3667,3.8836719907407407,6.575945221,79.15113039,305.7873124,384.9585212,686.1367428,0.008095141,-0.874619707,-0.874619707,-0.48480962,-0.48480962,102.547605,77.0,18.1,3026.504762,3694,2413.0,8.548,8.036,0.940102948,0.92,,4.228,0.703,19.65108953,0.06591499155248201,0.5895981020998657,0.06591499155248201,-0.03886335391927208,3.650380754317354,0.799547358105208,4.301217174369747,19.65108953,0.4977772578380908,1,3024.118577,0.7204380705518356,-0.021943802772324925,121,0.06938036654700785
Kalapathar,RGI2000-v7.0-G-15-06739,25,-0.56,0.796,0.689,1.0,1.19,0.577,27.96,86.81,4507.0,27.0692271,80,481,2344,4173,8366,1.9636487531046043,27.0692271,113.0598157,351.1586431,626.9383633,1282.556399,0.040730692,-0.139173101,-0.139173101,-0.990268069,-0.990268069,170.3776379,303.0,23.56,5103.400631,7981,4879.0,1.73,0.83,0.479768786,0.577,,15.195,0.436,15.88784819,1.0358387389416617,0.45906486461762874,1.0358387389416617,-0.4755171704579492,0.20300278151639875,0.8792170721618677,0.12440301791671478,15.88784819,-0.323699421965318,1,5095.734896,0.8736307332065457,-0.48406240673792506,456,0.48406240673792506
Kennikot,RGI2000-v7.0-G-01-05740,344,5.496,5.37,4.5,1.0,5.96,4.56,61.4841,-142.9283,,1.414213562,4,50,1437,1773,4740,1.972956369818328,1.414213562,9.263435636,187.093511,384.1307008,784.2640494,0.012269396,-0.965925826,-0.965925826,0.258819045,0.258819045,,154.0,13.4,657.0,4952,407.0,44.9,292.5,6.514476615,4.56,,39.1,0.226,25.34660015,0.21021117610045958,0.7352782491497583,0.21021117610045958,-0.15456370551485743,10.65136466838568,0.8623155152453293,10.4716956865402,25.34660015,0.1224053452115813,1,608.1140607,0.8991815319045944,0.4405962854371599,82,0.4405962854371599
Langenferner,RGI2000-v7.0-G-11-02875,250,1.281,1.0,0.391,0.0,1.65,0.523278,46.47245,10.61391,2627.0,5.851756621,21,380,1986,2623,3730,3.366824182619198,5.851756621,82.91998407,332.8616364,454.6898426,701.1469498,0.008095141,-0.874619707,-0.874619707,-0.48480962,-0.48480962,84.17444296,32.0,18.14,2954.449045,3399,2671.0,2.934,2.1629,0.737184731,0.523278,,1.775,0.253101,19.23615778,-0.07287525847743721,0.006645069749537991,-0.07287525847743721,0.00048426117559818003,6.865833087765291,0.7614026641023734,4.026776040364884,19.23615778,0.4366053169734151,1,2957.259322,0.8548681632465998,0.6615402315563536,332,0.6615402315563536
Lirung,RGI2000-v7.0-G-15-05739,303,1.792,0.922,0.383,1.0,1.18,0.361273,28.24,85.56,5025.0,14.43465881,48,572,3807,4553,7567,0.959412021632904,14.43465881,135.8730585,759.5799753,719.927965,1564.966084,0.028148301,-0.224951054,-0.224951054,-0.974370065,-0.974370065,194.3870968,139.0,32.48,4275.60443,7216,3988.0,8.57,4.786,0.558459743,0.361273,,5.934,0.281,14.76221421,0.27540822673240384,0.6087645970642122,0.27540822673240384,-0.167658778174921,2.891624136653648,0.8377696048460046,8.09042221783576,14.76221421,0.20910151691948659,1,4271.562606,0.9225791644489578,-0.5088370238991962,186,0.5424168909698383
Morimoto,RGI2000-v7.0-G-15-05844,132,1.807,0.706,,,,0.209,28.25296,85.68152,,,51,358,2703,4186,7491,1.9926336340964201,12.92768347,90.90092999,495.5043496,540.7106316,1462.869521,0.028148301,-0.224951054,-0.224951054,-0.974370065,-0.974370065,,90.0,22.0,4925.0,5914,4689.0,4.647,1.38,0.296965784,0.209,,2.84,0.2,16.47690275,0.7162464099195114,0.565484117142452,0.7162464099195114,-0.40502596876978564,0.6165110073344523,0.8349552782816501,3.393518317500584,16.47690275,0.3888530234559931,1,4919.709614,0.8442192647814365,0.6583945586274543,365,0.6583945586274543
Mullwitzkeez,RGI2000-v7.0-G-11-03803,30,1.455,0.87,1.94,0.0,1.412,1.412,47.0839,12.3634,,11.96332286,37,394,1968,2547,3207,2.4147077182539682,11.96332286,89.48093625,332.3447284,480.9654033,600.6888984,0.003207142,0.79863551,0.79863551,0.601815023,0.601815023,,210.5,17.2,2976.0,3407,2644.0,3.066,3.01,0.98173516,1.412,,2.166,1.238,19.38858914,0.0952926060921329,-0.45459867485296346,0.0952926060921329,0.04331989245276905,8.2759785041921,0.8364260089362809,4.089488718820862,19.38858914,0.47455968688845407,0,2975.566272,0.6668650165092493,-0.4256127966474805,50,0.4301752368443439
Otemma,RGI2000-v7.0-G-11-00859,55,1.407,0.853,,1.0,1.1,0.69,45.956,7.454,,1.876388375,6,141,1853,2494,4402,3.457112034207622,1.876388375,22.46643272,328.3360498,442.4180886,776.2661185,0.008812765,-0.848048096,-0.848048096,-0.529919264,-0.529919264,,286.0,15.0,2683.0,3759,2453.0,8.69,11.75,1.352128884,0.69,,6.1,0.028,21.74783288,0.007839462397537269,20.837338293792577,0.007839462397537269,-0.1633535300189503,6.128819034641924,0.8721557976835358,5.02285899966047,21.74783288,0.16191024165707713,1,2841.428934,0.26819275025651745,0.4365832293236061,38,0.4854843632744457
Place1,RGI2000-v7.0-G-02-07366,160,0.913,1.25,1.65,1.0,1.3,0.922,50.426073,-122.601628,2511.0,2.325880956,6,178,2100,2423,2824,2.966269777138848,2.325880956,37.77694243,489.790308,566.7144807,555.0690409,0.02160316,-0.882947593,-0.882947593,-0.469471563,-0.469471563,302.2306023,21.4,11.83,1970.368254,2560,1839.0,3.821,3.015,0.789060455,0.922,,2.909,0.007,22.80287048,0.05373106148365641,0.42934685373639636,0.05373106148365641,-0.02306926219592475,11.223670638360078,0.7675826143377064,4.7243737314212435,22.80287048,0.23894268516095263,1,1951.20486,0.9575685355715109,0.7662822485250075,206,0.7662822485250075
Place2,RGI2000-v7.0-G-02-07366,160,1.386,1.48,1.25,1.0,1.63,1.301,50.421835,-122.598482,2511.0,3.596873642,10,146,2091,2498,2843,3.09560066601057,3.596873642,31.65912403,442.9990809,567.8371143,555.6863897,0.02160316,-0.882947593,-0.882947593,-0.469471563,-0.469471563,180.0,21.4,11.83,2024.669841,2560,1839.0,3.821,3.015,0.789060455,1.301,,2.445,0.198,22.80287048,0.04887432357747208,1.5029459315584532,0.04887432357747208,-0.07345546577843305,11.079984584874401,0.7470737304410363,4.494286600237239,22.80287048,0.3627322690395184,1,2011.009024,0.9094005063294968,0.6756016302199238,266,0.6756016302199238
Place3,RGI2000-v7.0-G-02-07366,160,1.899,1.32,1.9,0.0,2.9,0.906,50.414718,-122.600217,2511.0,4.904646323,17,401,2008,2534,2843,3.2005154952988284,4.904646323,59.81428895,379.877652,580.9377072,556.3424806,0.02160316,-0.882947593,-0.882947593,-0.469471563,-0.469471563,56.88029804,21.4,11.83,2095.0,2560,1839.0,3.821,3.015,0.789060455,0.906,,2.027,0.421089,22.80287048,0.04935083274509095,2.248676201336137,0.04935083274509095,-0.11097404311000617,11.660516285932877,0.7701582915361141,5.195587322022312,22.80287048,0.4969903166710285,1,2091.599605,0.9375246802263282,0.6165821675188875,241,0.6165821675188875
Place4,RGI2000-v7.0-G-02-07366,42,2.954,0.649,,,,0.649,50.412846,-122.615898,,,10,343,2152,2462,2843,2.9534147620622027,3.291402943,64.53562702,385.2287578,597.8875535,557.1139097,0.02160316,-0.882947593,-0.882947593,-0.469471563,-0.469471563,,21.4,11.83,2330.0,2560,1839.0,3.821,3.015,0.789060455,0.649,,0.867,0.023,22.80287048,0.04501847874685633,4.162930103592074,0.04501847874685633,-0.18740878039320819,12.118555128443859,0.7608888388606916,4.282555631587057,22.80287048,0.7730960481549333,1,2309.265577,0.6976386854491438,-0.514523851656658,189,0.514523851656658
Pyramid,RGI2000-v7.0-G-15-08331,30,5.545,1.35,1.15,1.0,2.94,0.872,27.99,86.83,4237.0,16.45020897,59,428,2927,4529,8265,2.0214869603521133,16.45020897,90.7405461,449.5057654,675.3717621,1200.63798,0.040730692,-0.139173101,-0.139173101,-0.990268069,-0.990268069,148.4286615,303.0,23.56,5410.542857,7981,4879.0,18.546,26.35,1.420791545,0.872,,11.841,1.292,15.88784819,0.5168721188253749,1.497276043762554,0.5168721188253749,-0.7739002412060261,0.2893051086198459,0.8781758930042889,2.5152158525796806,15.88784819,0.2989863043243826,0,5406.767993,0.981013744722303,-0.6311735057116619,1171,0.6311735057116619
Satopanth,RGI2000-v7.0-G-15-00882,247,1.186,0.974,1.459,1.0,1.2,0.750868,30.773251,79.408794,3822.0,8.576630676,32,420,3150,4318,7148,1.1916957663697143,8.576630676,64.91782094,565.2783277,729.6095362,1439.995984,0.055348579,-0.573576436,-0.573576436,-0.819152044,-0.819152044,98.30364372,34.36,19.7,3909.812698,7056,3755.0,20.106,57.04,2.83696409,0.750868,,13.503,0.042383,23.02176424,0.4708106183509058,0.11564706408579822,0.4708106183509058,-0.054447865752701496,2.3428809536580935,0.7950903205380779,9.704059735798136,23.02176424,0.05898736695513776,1,3900.70784,0.7798149280793294,0.03569618823737561,92,0.7222760188144864
Schiaparelli,RGI2000-v7.0-G-17-15343,90,1.677,2.05,1.54,1.0,2.23,1.581,-54.4,-70.87,2185.0,2.869560071,10,105,2178,2180,2293,3.9049349193572316,2.869560071,18.40521817,403.5579852,383.2407779,266.6679765,0.012010698,0.48480962,0.48480962,-0.874619707,-0.874619707,254.0,343.0,13.85,196.5348101,1953,4.79,10.831,24.7903,2.288828363,1.581,,9.21,0.358567,6.91114226,0.40470391481976015,0.7486374122061943,0.40470391481976015,-0.3029764915003813,6.270980774115192,5.522759615290755,7.1500753896126374,6.91114226,0.15483334872126306,0,172.6333897,0.9812235583701199,-0.07824145196172627,581,0.10227107328473693
Southcol,RGI2000-v7.0-G-15-08331,257,18.225,1.04,,,,1.0,27.9719,86.9295,,,72,575,3760,4497,8322,2.9955167513163956,20.62528409,121.4592227,855.5799613,718.8731727,1281.559884,0.040730692,-0.139173101,-0.139173101,-0.990268069,-0.990268069,,303.0,23.56,7905.0,7981,4879.0,18.546,26.35,1.420791545,1.0,,0.321,1.064,15.88784819,0.07980294252228633,-0.6469242884953131,0.07980294252228633,0.05162646181106245,-1.541035885880573,0.8109620805128644,-13.370926730066087,15.88784819,0.9826916855386607,0,7935.570178,0.8247519887297083,0.15339771395717133,416,0.15339771395717133
Trakarding,RGI2000-v7.0-G-15-08533,52,0.42985,0.718,0.96,1.0,1.83,0.29821,27.843,86.487,3205.0,16.06670124,49,351,2557,3258,8307,1.6043599111888522,16.06670124,92.04592469,467.7578452,532.7034206,1601.199158,0.040730692,-0.139173101,-0.139173101,-0.990268069,-0.990268069,56.29484029,327.0,16.99,4820.895238,6677,4545.0,17.869,32.09,1.795847557,0.29821,,17.535,0.65216,13.99930349,0.46758869484001614,1.4750091095783064,0.46758869484001614,-0.6896975844248546,3.2706755224368926,0.7521860685901336,4.583641220075883,13.99930349,0.02405562706362975,1,4818.349591,0.8987651180559546,0.25348777437713177,487,0.2979592422801127
Vernatferner,RGI2000-v7.0-G-11-03124,308,1.41,1.19,0.5,1.0,1.25,0.809,46.868939,10.802986,,9.688709602,30,304,1534,2173,3662,3.4084848484848487,9.688709602,65.96651362,288.120823,389.2698162,683.289241,0.008095141,-0.874619707,-0.874619707,-0.48480962,-0.48480962,,154.0,15.7,3066.0,3574,2794.0,3.018,8.56,2.836315441,0.809,,1.755,0.425,19.65108953,-0.05405431707314621,-0.6559939799347893,-0.05405431707314621,-0.03545930658947021,2.3438654941715757,0.784017346428232,-1.7762361357487144,19.65108953,0.4671968190854871,0,3070.209191,0.864125861785092,0.3983397355926228,56,0.3983397355926228
Weart1,RGI2000-v7.0-G-02-07402,200,2.929,1.64,1.46,1.0,1.7,1.325,50.155944,-122.760257,2455.0,7.559916914,22,199,1717,2553,2953,3.4510636617585626,7.559916914,39.49202282,277.2470801,453.9096867,573.4797648,0.02160316,-0.882947593,-0.882947593,-0.469471563,-0.469471563,42.50528131,14.18,11.88,2164.47619,2759,1655.0,6.503,8.111,1.247270491,1.325,,3.71,0.178,21.41901511,0.05741334918089351,4.78853365366857,0.05741334918089351,-0.2749257547225334,10.827444123228256,0.5896271946285031,4.034794799498747,21.41901511,0.4504075042288174,1,2156.297236,0.8583999441254452,0.8974079480029725,58,0.8974079480029725
Weart2,RGI2000-v7.0-G-02-07402,200,5.108,1.45,1.02,0.0,1.66,0.683,50.138823,-122.775232,2455.0,4.099457959,11,225,1859,2518,2953,2.4620023148148147,4.099457959,39.30963741,351.4318799,482.4784122,571.3954359,0.02160316,-0.882947593,-0.882947593,-0.469471563,-0.469471563,74.5,14.18,11.88,2298.203822,2759,1655.0,6.503,8.111,1.247270491,0.683,,1.479,0.072964,21.41901511,0.08539364450300208,2.963515397425775,0.08539364450300208,-0.25306538032694953,9.085727600239041,0.6204332078926399,4.754818672839506,21.41901511,0.7854836229432569,1,2310.925466,0.7547802200054747,0.5068558815749892,58,0.5068558815749892
Weissee,RGI2000-v7.0-G-11-03239,85,7.681,0.63,,,,0.63,46.872909,10.714437,,,10,351,1765,2177,3628,3.6236443383063217,3.040239391,71.43047416,356.3551159,366.1808683,651.1976537,0.008095141,-0.874619707,-0.874619707,-0.48480962,-0.48480962,,353.0,11.699,3507.0,3486,2113.0,7.823,16.7222,2.137568708,0.63,,0.142,0.028,20.45475584,-0.15832294764228447,-0.7093309649417056,-0.15832294764228447,-0.11230336922351677,2.880352906613927,0.7181976109854084,0.33814979859734046,20.45475584,0.9818483957561037,1,2465.415766,0.9494637842142912,-0.16741196135317435,122,0.16741196135317435
Yala,RGI2000-v7.0-G-15-05917,36,1.354,0.648,0.94047619,0.0,0.648,0.648,28.23,85.62,3781.0,5.661762584,17,486,2872,3516,7538,1.1066266002340648,5.661762584,112.9249811,609.2177873,555.1936894,1546.928357,0.028148301,-0.224951054,-0.224951054,-0.974370065,-0.974370065,228.9801634,225.8,22.72,5213.642405,5644,5080.0,2.184,2.054,0.94047619,0.648,,0.491,0.281151,14.76221421,0.0456683893970852,3.4723469103859403,0.0456683893970852,-0.15857649082527084,3.0643559714827773,0.8151730181525032,1.2082291840567676,14.76221421,0.61996336996337,1,5202.667983,0.25779374410856426,0.34378724165058255,464,0.3813504655082231
