glacier_name,Unnamed: 0.1,Unnamed: 0,CW2,Glacier_ID,Heightfromglacier,RGI6_ID,CW,lat,lon,mean_wind_obs,sensitivity,delay,Down_glacier_direction,channel_width_100m_from_lowest_point,relief_1km,relief_5km,relief_10km,stddev_1km,stddev_5km,stddev_10km,Slope_100m,Slope_1km,Slope_10km,rgi_slope,station_z,Z_max,Z_min,Z_mean_10km,rel_Z,Z_range,Slope_mean,glacier_length,glacier_width,glacier_area,rel_distancefromhead,Distance from head,rel_distancefromcenterline,Distance from centerline,continentality,A,B,mean_temp_era5,mean_wind_era5,mean_temp_obs,T_range_continentality,aspect_ratio_relief_1,aspect_ratio_relief_5,aspect_ratio_relief_10,aspect_ratio_stddev_1,aspect_ratio_stddev_5,aspect_ratio_stddev_10,Mean_elev,localtime,rel_heightfromglacier,score,mean_along_valley%,data_length_days,mean_abs_along_valley%
Arolla,0,0,0.811764933,RGI2000-v7.0-G-11-01247,0,RGI60-11.02810,0.6,45.97,7.52,3.3826607429347155,0.11941348839693007,2.292930984510822,166,1.06,792,1787,2549,143.604637,340.0649042,435.4417537,0.14307697,0.308851625,0.038536013,16.44,2851.751592,3467,2546.0,2867.154254,0.331977841,921.0,211.4325069,4.356,0.871992654,3.7984,0.486685032,2.12,0.2083,0.220798,21.7318082,0.11941348839693007,0.27380688751384447,7.356431653060753,0.8492455064111558,7.425177017771195,21.7318082,0.757575758,0.335758254,0.235386426,4.178138064,1.764369074,1.377911041,2925.216482,1,0.0,0.7191839613862193,0.028854349948293695,74,0.43409175660525534
Balcony,1,1,0.844485493,RGI2000-v7.0-G-15-08331,0,RGI60-15.09803,1.1,27.9826,86.9292,3.4194130848349373,0.07433952367275848,0.0,257,1.04,1274,3550,3985,315.3822113,750.5749662,738.8005589,0.64872719,0.498662496,0.08141589,303.0,8323.0,7981,4879.0,6060.837186,1.110251451,3102.0,1672.597865,1.8546,14.20791545,26.35,0.690175779,1.28,1.886538462,1.962,15.88784819,0.07433952367275848,0.0,-8.708959268201772,0.8281259848899136,-16.656336082509146,15.88784819,0.863422292,0.309859155,0.276035132,3.487831465,1.46554315,1.488899794,6738.802243,0,0.0,0.16899836239058796,0.21750077905114465,122,0.2205580707870268
Bellavista,2,2,0.72978728,RGI2000-v7.0-G-11-03243,0,RGI60-11.00957,1.47,46.78284,10.79138,3.5780745356591708,0.22496259535228816,0.0,250,0.783,689,1763,2306,138.4965892,333.5426433,391.7007571,0.384868647,0.187460033,0.024415563,15.3,2799.0,3405,2657.0,2762.041459,0.189839572,748.0,234.9984292,3.183,0.970782281,3.09,0.518064719,1.649,1.503192848,1.177,19.65108953,0.22496259535228816,0.0,4.058043695146572,0.8886245102828155,4.296645413084215,19.65108953,2.133526851,0.833806012,0.637467476,10.6139798,4.407232567,3.752864842,2741.489969,1,0.0,0.9171284596097788,0.20709945657354176,64,0.20709945657354176
Bishop,3,3,1.420791545,RGI2000-v7.0-G-15-08331,0,RGI60-15.09803,0.95,27.9735,86.9308,3.1797461888759013,0.27373745632552304,1.868399344783288,90,1.04,1275,3621,4070,249.4432273,828.9443605,754.3471499,0.248662725,0.295326484,0.08141589,23.56,7857.022222,7981,4879.0,6013.617281,0.960032954,3102.0,167.2597865,18.546,1.420791545,26.35,0.004691038,0.087,0.457692308,0.476,15.88784819,0.27373745632552304,0.5114508840412512,-6.500839037342657,0.746102713192004,-17.349132658776544,15.88784819,0.745098039,0.262358465,0.233415233,3.808481835,1.146035905,1.259367123,6618.731801,0,0.0,0.7035644570492382,0.24993396767087958,59,0.2677230303541312
Camp2,4,4,0.603018634,RGI2000-v7.0-G-15-08331,0,RGI60-15.03733,0.66,27.981,86.9023,1.1018327892423496,0.06331843035989047,0.7126311096059202,150,1.0,907,3623,4187,197.2866351,826.5748585,777.8484033,0.432096602,0.615599223,0.08141589,23.56,6484.964856,7981,4879.0,5978.858152,0.517719167,3102.0,167.2597865,18.546,1.420791545,26.35,0.164078507,3.043,0.39,0.39,15.88784819,0.06331843035989047,0.04512268328587394,-1.2626577601943267,0.8000096406630209,-3.9861125215053,15.88784819,0.727673649,0.182169473,0.157630762,3.345386268,0.798475774,0.848494382,6580.846193,0,0.0,0.2546839563562576,-0.007992019029514472,518,0.21261664065605132
Chottashigri,5,5,0.603018634,RGI2000-v7.0-G-14-30579,0,RGI60-14.15990,0.6,32.228297,77.506293,2.6190266472868218,0.29877239924532745,2.1717715350497127,260,1.31,527,2273,2911,115.418917,375.7736025,513.5438544,0.337601458,0.043193953,0.029424558,16.9,4870.749206,5752,4273.0,4812.054603,0.404157678,1479.0,155.4224464,9.516,1.761664565,16.764,0.500210172,4.76,0.214503817,0.281,23.38128363,0.29877239924532745,0.6488653921395104,3.828482635138034,0.779397646713786,2.4340100319197444,23.38128363,1.138519924,0.263968324,0.206114737,5.1984546,1.596706091,1.168352021,5091.910665,1,0.0,0.6855191090388408,0.3586315143499439,86,0.36366679526647855
Djankuat,6,6,0.976939108,RGI2000-v7.0-G-12-00647,0,RGI60-12.01132,1.52,43.198,42.757,5.119577144106322,0.7802766924443539,0.29206085044379343,130,0.853,767,1980,2750,160.9242971,415.7898429,516.0169962,0.293949651,0.170574518,0.027459354,25.05,2975.605096,3706,2689.7,3047.76972,0.281319587,1016.3,322.430203,3.152,0.948286802,2.989,0.532043147,1.677,0.133645955,0.114,26.39893157,0.7802766924443539,0.22788827437676826,8.708456716746152,0.6805624966613251,6.961034438698095,26.39893157,1.981747066,0.767676768,0.552727273,9.445435073,3.655692956,2.94563941,3168.417,1,0.0,0.9164745834230564,0.8959798278739647,231,0.8959798278739647
Drangdrung,7,7,1.554625734,RGI2000-v7.0-G-14-26914,0,RGI60-14.18948,1.0,33.787596,76.333945,4.203627113029971,0.2120193679529633,2.897877570741058,224,2.45,184,2184,2492,27.15183381,414.9222777,444.0073067,0.063974651,0.051974756,0.065973171,13.9,4600.615873,6523,4079.0,5030.794027,0.213427117,2444.0,98.79936937,24.737,2.763471723,68.36,0.663661721,16.417,0.067020408,0.1642,26.75100507,0.2120193679529633,0.6144061709535877,1.379461377170341,0.7030299216174262,5.536262020285087,26.75100507,5.434782609,0.457875458,0.401284109,36.8299249,2.410089922,2.252215189,5087.285722,1,0.0,0.8837497918339943,0.9084218948628381,98,0.9084218948628381
Hinterisferner,8,8,0.752835194,RGI2000-v7.0-G-11-03116,155,RGI60-11.00897,0.47,46.79867,10.76042,3.88572662037037,0.06413266643891932,0.0,300,1.231,611,1710,2075,144.1095082,284.7692366,360.130775,0.303383553,0.288807662,0.024415563,18.1,3026.504762,3694,2413.0,2770.20381,0.478926434,1281.0,149.8596163,8.548,0.940102948,8.036,0.494618624,4.228,0.571080422,0.703,19.65108953,0.06413266643891932,0.0,3.3834680082273336,0.7994281421710611,4.301975811157797,19.65108953,0.769230769,0.274853801,0.226506024,3.261408674,1.650459177,1.305081467,2953.495165,1,0.0746987951807229,0.7101561332406737,-0.021485927545570174,121,0.06983824177376262
Kalapathar,9,9,0.940018648459654,RGI2000-v7.0-G-15-08331,299,RGI60-15.03733,0.9,27.99,86.83,1.9635215935964903,1.0375588395217998,0.46416344850209945,25,1.36,568,2665,4480,110.3136415,441.5570944,679.7527753,0.511969373,0.145310308,0.08020885,23.56,5600.0,7981,4879.0,5734.527778,0.23243069,3102.0,167.2597865,18.546,1.420791545,26.35,0.647039793,12.0,0.547738693,1.302,15.88784819,1.0375588395217998,0.481596888976275,0.29167591255800496,0.8791463747200495,0.12165533493511345,15.88784819,1.584507042,0.337711069,0.200892857,8.158555803,2.038241513,1.324010777,5613.486507,1,0.0667410714285714,0.8729551984228205,-0.48396428442159944,457,0.48396428442159944
Kennikot,10,10,6.514476615,RGI2000-v7.0-G-01-05740,0,RGI60-01.15645,4.56,61.4841,-142.9283,1.9727681923115528,0.20931608409957042,0.0,344,5.37,115,1417,1757,21.74873433,238.704831,385.368382,0.011215411,0.03950388,0.035434792,154.0,657.0,4952,407.0,950.1544304,0.055005501,4545.0,101.2249443,44.9,6.514476615,292.5,0.870824053,39.1,0.042085661,0.226,25.34660015,0.20931608409957042,0.0,10.713032915154253,0.862527212256905,10.474537300511892,25.34660015,39.65217391,3.218066337,2.595332954,209.6673733,19.10309054,11.83283376,619.8170305,1,0.0,0.8966521886048726,0.4404466301056554,82,0.4404466301056554
Langenferner,11,11,0.67298546,RGI2000-v7.0-G-11-02875,17,RGI60-11.01776,0.33,46.47245,10.61391,3.366824182619198,0.0,inf,250,1.0,606,1948,2268,140.9387489,317.7343381,393.3644593,0.381738864,0.180550081,0.04542547,32.0,2954.449045,3399,2671.0,2764.43149,0.389353084,728.0,248.125426,2.934,0.737184731,2.1629,0.604976142,1.775,0.253101,0.253101,19.23615778,0.0,0.10375769348451452,6.5458250260081385,0.761374842361227,4.026776040364884,19.23615778,0.544554455,0.169404517,0.145502646,2.341442666,1.038603514,0.838916664,2889.693225,1,0.0074955908289241,0.14153636245252232,0.6615402315563536,332,0.6615402315563536
Lirung,12,12,0.493054548,RGI2000-v7.0-G-15-05739,89,RGI60-15.04045,0.361273,28.24,85.56,0.959412021632904,0.3025421028216628,0.7604184005044134,303,0.922,1057,3719,4134,220.995139,796.7163421,694.6825339,0.300999996,0.229724028,0.134351405,32.48,4275.60443,7216,3988.0,4887.102571,0.089096787,3228.0,376.6627771,8.57,0.558459743,4.786,0.692415403,5.934,0.304772234,0.281,14.76221421,0.3025421028216628,0.23005858191289058,5.492396093236778,0.8377696048460046,8.09042221783576,14.76221421,0.341790918,0.097142511,0.087390663,1.634755414,0.453452479,0.52005482,4844.801714,1,0.021528785679729,0.9223094927389384,-0.5088370238991962,186,0.5424168909698383
Morimoto,13,13,0.301721993,RGI2000-v7.0-G-15-05844,85,RGI60-15.04036,0.209,28.25296,85.68152,1.9926336340964201,0.7432868456229658,0.6231281222698436,132,0.706,719,2400,2985,136.9221394,432.5900742,519.0526809,0.367858957,0.170288047,0.03600416,22.0,4925.0,5914,4689.0,5250.147881,0.192653061,1225.0,263.6109318,4.647,0.296965784,1.38,0.611146977,2.84,0.283286119,0.2,16.47690275,0.7432868456229658,0.4631629364209138,1.4910096188279944,0.8349552782816501,3.393518317500584,16.47690275,0.290681502,0.087083333,0.07001675,1.526414946,0.483136374,0.402656624,5116.441575,1,0.0284757118927973,0.8424095150837378,0.6583945586274543,365,0.6583945586274543
Place1,14,14,0.948610217,RGI2000-v7.0-G-02-07366,0,RGI60-02.01104,0.922,50.426073,-122.601628,2.966269777138848,0.0518891578520242,0.0,160,1.25,586,1937,2412,120.7878241,397.9409232,556.8838212,0.111811995,0.11994455,0.093922232,11.83,1970.368254,2560,1839.0,1471.968149,0.182202849,721.0,188.6940591,3.821,0.789060455,3.015,0.761319026,2.909,0.0056,0.007,22.80287048,0.0518891578520242,0.0,10.71140999169846,0.7677112308397828,4.7243737314212435,22.80287048,1.57337884,0.475993805,0.38225539,7.633219713,2.316926826,1.655641563,1742.979446,1,0.0,0.9326465944298442,0.7662822485250075,206,0.7662822485250075
Place2,15,15,1.37196998,RGI2000-v7.0-G-02-07366,0,RGI60-02.01104,1.301,50.421835,-122.598482,3.09560066601057,0.05066907056169148,0.6374296840899639,160,1.48,519,1782,2413,97.82099123,350.3251708,552.3666978,0.069999218,0.101570011,0.093922232,11.83,2024.669841,2560,1839.0,1464.997708,0.257517117,721.0,188.6940591,3.821,0.789060455,3.015,0.639884847,2.445,0.133783784,0.198,22.80287048,0.05066907056169148,0.032297969641271095,10.528284042971205,0.747199920786841,4.494286600237239,22.80287048,2.506743738,0.730078563,0.539162868,13.29980389,3.713692616,2.355319401,1792.691879,1,0.0,0.920765696762376,0.6756016302199238,266,0.6756016302199238
Place3,16,16,1.039443002,RGI2000-v7.0-G-02-07366,0,RGI60-02.01104,1.0,50.414718,-122.600217,3.2005154952988284,0.05407785872646642,1.2031207353998303,160,1.32,520,1663,2433,115.7764842,325.5521475,555.7249856,0.180839997,0.077634811,0.093922232,11.83,2095.0,2560,1839.0,1438.577127,0.355062413,721.0,188.6940591,3.821,0.789060455,3.015,0.530489401,2.027,0.319006818,0.421089,22.80287048,0.05407785872646642,0.06506219315983441,11.102178790776975,0.7700751335434406,5.195587322022312,22.80287048,1.923076923,0.60132291,0.411015208,8.637332589,3.071704511,1.799451214,1864.744804,1,0.0,0.9561998045462238,0.6165821675188875,241,0.6165821675188875
Place4,17,17,0.747593314,RGI2000-v7.0-G-02-07366,0,RGI60-02.01104,0.649,50.412846,-122.615898,2.9534147620622027,0.05585708969551006,2.7447636940930504,42,0.649,516,1999,2443,101.8814583,405.0623289,569.7287439,0.142651108,0.208300111,0.093922232,11.83,2330.0,2560,1839.0,1399.012588,0.680998613,721.0,188.6940591,3.821,0.789060455,3.015,0.226903952,0.867,0.035439137,0.023,22.80287048,0.05585708969551006,0.15331451185393505,11.099560248864648,0.7609462721579843,4.282555631587057,22.80287048,1.257751938,0.324662331,0.265656979,6.370148316,1.602222556,1.139138593,1883.821416,1,0.0,0.7518413597632111,-0.514523851656658,189,0.514523851656658
Pyramid,18,18,0.731922917121193,RGI2000-v7.0-G-15-08331,114,RGI60-15.03733,0.8,27.95792,86.814807,1.9586410408368122,0.2659520268949486,6.303172640740037,23,1.52,615,2113,3790,132.6398477,319.0738635,598.3636061,0.862444527,0.177327198,0.08020885,23.56,5050.0,7981,4879.0,5434.305915,0.055125725,3102.0,1793.063584,18.546,1.420791545,26.35,0.819314138,15.195,0.957037037,0.879,15.88784819,0.2659520268949486,1.6763415396735986,1.0432316340435237,0.850630769851875,2.122266228266056,15.88784819,1.300813008,0.378608613,0.211081794,6.031370013,2.507256443,1.336979709,5242.669441,0,0.0300791556728232,0.6530196349108421,-0.6399286910335414,473,0.6399286910335414
Satopanth,19,19,0.834902345,RGI2000-v7.0-G-15-00882,0,RGI60-15.07122,0.750868,30.773251,79.408794,1.1916957663697143,0.5569723281570518,0.3282536702645544,247,0.974,678,3159,3729,142.6107902,544.432349,681.692267,0.219064906,0.088340241,0.124894259,19.7,3909.812698,7056,3755.0,4712.288884,0.046898727,3301.0,164.1798468,20.106,2.83696409,57.04,0.67159057,13.503,0.043514374,0.042383,23.02176424,0.5569723281570518,0.18282821095334606,5.646104838815472,0.7950903205380779,9.704059735798136,23.02176424,1.107474926,0.237691675,0.201359078,5.265155595,1.379175946,1.101476482,4641.236603,1,0.0,0.7989219355009844,0.03569618823737561,92,0.7222760188144864
Schiaparelli,20,20,1.591182481,RGI2000-v7.0-G-17-15343,0,RGI60-17.03160,1.312,-54.4,-70.87,3.915630096983179,0.40056107019112597,0.7271464011916746,90,2.05,432,1852,2178,65.22922937,334.7193623,372.2978877,0.060335231,0.096180701,0.033154452,13.85,196.5348101,1953,4.79,327.3394232,0.098421017,1948.21,179.8735112,10.831,2.288828363,24.7903,0.850336996,9.21,0.174910732,0.358567,6.91114226,0.40056107019112597,0.291266540646963,6.962984169030215,5.5234888486835025,7.1459432269103935,6.91114226,3.037037037,0.708423326,0.602387511,20.11368236,3.91970154,3.524059747,423.0936469,0,0.0,0.9850039283917043,-0.08313171723967205,586,0.10381739498407468
Southcol,21,21,0.491730407,RGI2000-v7.0-G-15-08331,0,RGI60-15.03733,1.0,27.9719,86.9295,3.0069701701155207,0.07218549938785611,0.0,257,1.04,1260,3640,4097,248.6053557,842.1856064,758.7913968,0.530210257,0.295326484,0.08141589,23.56,7905.0,7981,4879.0,6003.07342,0.975499678,3102.0,167.2597865,18.546,1.420791545,26.35,0.017308314,0.321,1.023076923,1.064,15.88784819,0.07218549938785611,0.0,-7.158446983080481,0.8117186491465064,-13.417202433550372,15.88784819,0.793650794,0.274725275,0.244081035,4.022439489,1.187386714,1.317885264,6603.480613,0,0.0,0.7962228441127179,0.1512149453171667,419,0.1512149453171667
Trakarding,22,22,1.795847557,RGI2000-v7.0-G-15-08533,0,,0.29821,27.843,86.487,1.6043599111888522,0.492880578773736,1.5655733335136004,52,0.718,594,2471,3018,136.3780582,430.8702658,514.7052085,0.363928506,0.324721133,0.121461933,16.99,4820.895238,6677,4545.0,5252.826697,0.129406772,2132.0,119.3127763,17.869,1.795847557,32.09,0.981308411,17.535,0.908300836,0.65216,13.99930349,0.492880578773736,0.7716406907349106,5.397511577253474,0.7521860685901336,4.583641220075883,13.99930349,0.502037037,0.120683934,0.098810471,2.186642074,0.692110883,0.579380187,5297.782173,1,0.0,0.8962068513183095,0.25348777437713177,487,0.2979592422801127
Weart1,23,23,1.327799967,RGI2000-v7.0-G-02-07402,0,RGI60-02.00651,1.175,50.155944,-122.760257,3.4510636617585626,0.07649115979027611,2.9852621204799767,200,1.64,493,1537,2461,89.08393535,250.2981074,458.4479787,0.136252262,0.106136563,0.075623989,11.88,2164.47619,2759,1655.0,1763.393993,0.461482056,1104.0,169.7677995,6.503,1.247270491,8.111,0.57050592,3.71,0.108536585,0.178,21.41901511,0.07649115979027611,0.2283461618734924,10.88375111049041,0.5900528122208092,4.034794799498747,21.41901511,2.38336714,0.764476252,0.477448192,13.18980796,4.694402256,2.562995268,2172.181107,1,0.0,0.9082414553722999,0.8974079480029725,58,0.8974079480029725
Weart2,24,24,0.75,RGI2000-v7.0-G-02-07402,0,RGI60-02.00651,0.7833,50.138823,-122.775232,2.4620023148148147,0.0992536628820069,2.0304777952985935,200,1.45,557,1759,2417,96.9336803,336.4668704,464.1533191,0.271143132,0.112143755,0.075623989,11.88,2298.203822,2759,1655.0,1782.265945,0.582612158,1104.0,169.7677995,6.503,1.247270491,8.111,0.227433492,1.479,0.05032,0.072964,21.41901511,0.0992536628820069,0.2015323585839672,8.395314551768484,0.620580380023203,4.754818672839506,21.41901511,1.406283662,0.445309835,0.324079437,8.08078263,2.328015234,1.687588923,2097.221578,1,0.0,0.8250545236041571,0.5068558815749892,58,0.5068558815749892
Weissee,25,25,0.56680876,RGI2000-v7.0-G-11-03239,0,RGI60-11.00770,0.63,46.872909,10.714437,1.86799106802655,0.1491269329692208,0.4040412621575531,85,0.63,598,1756,2073,130.7809806,323.0958214,375.1742361,0.199219833,0.204736891,0.052710766,353.0,3507.0,3486,2113.0,2701.89658,1.015294975,1373.0,175.5081171,7.823,2.137568708,16.7222,0.018151604,0.142,0.044444444,0.028,20.45475584,0.1491269329692208,0.06025343421856879,3.256495198136404,0.7422201730709134,7.510579069647818,20.45475584,1.053511706,0.358769932,0.303907381,4.817214224,1.949885942,1.679219785,2694.266927,1,0.0,0.8774888903000916,0.06831981416956555,243,0.30474742749517075
Yala,26,26,2.184,RGI2000-v7.0-G-15-05917,0,RGI60-15.03954,0.648,28.23,85.62,1.1066266002340648,0.04459652432085268,3.3942762193183236,36,0.648,661,2862,3296,156.4211878,604.3563476,585.4899419,0.280691084,0.29706502,0.057457383,22.72,5213.642405,5644,5080.0,5007.32137,0.236954619,564.0,258.2417582,2.184,0.94047619,2.054,0.22481685,0.491,0.433875,0.281151,14.76221421,0.04459652432085268,0.15137292196652152,1.6892377646625445,0.8151730181525032,1.2082291840567676,14.76221421,0.980332829,0.226415094,0.196601942,4.142661292,1.072215097,1.106765383,4890.838812,1,0.0,0.2654313671002927,0.34378724165058255,464,0.3813504655082231
