datetime,Unnamed: 0.1,temp,ws,wdir,ws_model,wdir_model,temp_model,dewpoint_temp,pressure,lapse_rate,u_x,u_y,D_x,D_y,along_valley_component_of_wind,along_valley%
0,130.0,1.4936363636363637,3.7406969696969696,255.62727272727273,0.7753519087454509,188.32758885134228,1.3173647556076473,274.5317757346413,76313.96342329546,-0.003146207714944918,3.174652407190955,0.07000530191575093,0.0,-1.0,-0.07000530191575093,-0.049097531660490426
1,119.0,1.3989833333333332,2.7481666666666666,246.4633333333333,0.8105312404900781,189.1404454315876,0.6291386970038833,273.97920989990234,76335.49921875,-0.00315979706264347,1.9597510832233322,-0.32131445954340077,0.0,-1.0,0.32131445954340077,-0.07726531639035043
2,120.0,1.4084666666666668,2.407583333333333,237.50166666666664,0.8291776367387793,186.72855270746717,0.16310352265584355,273.73382263183595,76311.246484375,-0.003201254710405,1.8053337216050038,0.24088057230945803,0.0,-1.0,-0.24088057230945803,-0.3761819427775549
3,121.0,1.5635666666666665,3.1973,239.66,0.8447529058750123,152.30135952995062,-0.18111101487041137,273.5334671020508,76277.341015625,-0.0031928287463016203,2.6437473321522984,0.08415210916686308,0.0,-1.0,-0.08415210916686308,-0.20665654585131224
4,122.0,1.4459166666666667,3.1045833333333333,244.16833333333335,0.8255237598916668,153.1847541550465,-0.4805751501974472,273.35534820556643,76271.9890625,-0.0031967603898479004,2.3786210551578235,-0.4149721061964288,0.0,-1.0,0.4149721061964288,-0.043345101493140664
5,123.0,1.39935,2.64525,214.64166666666665,0.7848801225409247,154.2554451348605,-0.5539708122429212,273.21797943115234,76255.3203125,-0.0032148326266995203,1.461420627603116,0.28488570105352706,0.0,-1.0,-0.28488570105352706,-0.1651456226700005
6,124.0,1.4493,1.76655,202.07166666666666,0.7553519412325199,161.75018106213412,-0.5235873832161959,273.1088439941406,76252.68046875,-0.0031771718114986997,0.91916745884366,0.7387943868657585,0.0,-1.0,-0.7387943868657585,-0.43553755568013186
7,125.0,1.7414833333333335,2.1083333333333334,213.60166666666663,0.6938337493806606,127.0161131635331,0.19360310287155627,273.4535659790039,76278.537109375,-0.00310880001996494,0.9312254741451401,0.7243613832535967,0.0,-1.0,-0.7243613832535967,-0.5653697812113846
8,126.0,1.842683333333333,2.1151500000000003,198.22666666666666,0.7785383975161814,119.12648196767438,2.2133081706037556,274.30687255859374,76326.423828125,-0.00297782482625173,0.7334776931435677,1.2252622458816864,0.0,-1.0,-1.2252622458816864,-0.6537789614518651
9,127.0,2.0214833333333333,2.957066666666667,203.65666666666667,0.9708573908763899,125.201933825384,3.526618999958052,274.5008148193359,76347.301171875,-0.00308072567342547,1.3028552408121685,1.6007909093126966,0.0,-1.0,-1.6007909093126966,-0.6019472290580824
10,128.0,2.3465,3.372866666666667,211.865,1.1529069897592545,172.13097683767907,4.788253162940849,274.5500213623047,76374.45234375,-0.00311563611071558,1.708623495083677,2.3599193163728107,0.0,-1.0,-2.3599193163728107,-0.7028922124901317
11,129.0,2.461533333333333,3.7421166666666665,219.08,1.3046413928802523,174.10974883727218,5.601294778449383,274.5577926635742,76368.785546875,-0.00310251144329023,2.124024320313336,2.519077113174303,0.0,-1.0,-2.519077113174303,-0.6778119626543899
12,130.0,2.6235,4.17755,219.89000000000001,1.3172763757616723,173.84503898409696,6.243240789631335,274.62363586425784,76359.736328125,-0.00318621926546978,2.7621581395549533,2.462029239325017,0.0,-1.0,-2.462029239325017,-0.6125465858336275
13,131.0,2.7295333333333334,4.02605,210.56333333333333,1.2724851742534298,171.3698513846784,6.730391799479827,274.62972564697264,76346.76953125,-0.0031703959651411305,2.523043821573206,2.2806037857143324,0.0,-1.0,-2.2806037857143324,-0.46382142751247146
14,120.0,2.3080454545454545,3.589560606060606,210.7060606060606,1.3278942678956651,219.63488961003424,6.752661503355669,274.4241943359375,76367.875,-0.003092424629424173,1.9454393307334037,2.236718952987847,0.0,-1.0,-2.236718952987847,-0.7037270612902806
15,121.0,2.079878787878788,3.314363636363636,229.47272727272727,1.2883376951698908,187.72765294976887,6.6481622403560126,274.42592690207744,76351.74183238637,-0.0030932003450331908,2.2872049791012077,1.5725344395314063,0.0,-1.0,-1.5725344395314063,-0.5524657166335591
16,122.0,1.4205151515151515,3.1722878787878788,224.25454545454542,1.1542413311653943,193.38871117843502,6.262251035773471,274.5256999622692,76352.92009943182,-0.0031403383453471457,2.19938491037311,1.7795558800830042,0.0,-1.0,-1.7795558800830042,-0.6380459280018796
17,123.0,1.1478030303030302,2.553090909090909,238.10454545454547,0.9484044181607143,157.2839413470836,5.5287000158712525,274.9362806840376,76353.28799715909,-0.0032203196430338273,1.8612655426433156,0.9761986419748819,0.0,-1.0,-0.9761986419748819,-0.4400828626902014
18,124.0,1.1255000000000002,2.6710606060606064,238.83939393939391,0.8211036169196848,146.91825582597286,4.700468980915487,275.00422807173294,76358.80291193182,-0.003245028793423209,1.8390471044977779,0.4488093996002183,0.0,-1.0,-0.4488093996002183,-0.3114907804327678
19,125.0,1.196030303030303,2.8669545454545453,220.37121212121212,0.7815450263055536,174.18385365330002,3.7996813146779447,274.89395280317825,76375.56001420454,-0.0032537072506918633,2.036833656388132,0.5738210690981119,0.0,-1.0,-0.5738210690981119,-0.36677158529210735
20,126.0,1.2742878787878789,3.595772727272727,242.27575757575758,0.8749347672605997,146.80903239393734,3.1396973572316678,274.78386480158025,76359.76384943182,-0.003342319544328218,2.956565525576256,0.13069965645922624,0.0,-1.0,-0.13069965645922624,-0.26680636430356536
21,127.0,1.482060606060606,4.15810606060606,237.10757575757577,0.8523847049853207,150.01001453743413,2.5791621118074635,274.8424002907493,76361.20348011363,-0.003301588375344709,3.091232485571744,0.5901262886924997,0.0,-1.0,-0.5901262886924997,-0.16745163168638166
22,128.0,1.5217575757575756,4.282651515151515,230.3227272727273,0.8330412201026143,151.67721745427104,2.106715250077301,274.822548606179,76363.28728693182,-0.0032657323828500363,3.1604889159939913,0.5338618811953992,0.0,-1.0,-0.5338618811953992,-0.2378804884997527
23,129.0,1.633045454545455,3.8919242424242424,244.04696969696968,0.7660454717813654,159.52476900777532,1.724311912972864,274.7246024391868,76338.72833806818,-0.003202613702387809,3.4055644581741036,-0.27198209976023796,0.0,-1.0,0.27198209976023796,-0.019778317085545446
